Close,High,Low,Transactions,Open,Timestamp,Volume,ticker,date,time,answer
3700.31,3713.0,3689.88,5534,3701.23,2019-01-01 00:00:00,686.36742,BTCUSDT.csv,2019-01-01,00:00:00,3689.69
3689.69,3702.73,3684.22,5086,3700.2,2019-01-01 01:00:00,613.539115,BTCUSDT.csv,2019-01-01,01:00:00,3690.0
3690.0,3695.95,3675.04,6391,3689.67,2019-01-01 02:00:00,895.302181,BTCUSDT.csv,2019-01-01,02:00:00,3693.13
3693.13,3699.77,3685.78,5709,3690.0,2019-01-01 03:00:00,796.714818,BTCUSDT.csv,2019-01-01,03:00:00,3692.71
3692.71,3720.0,3685.94,7908,3692.32,2019-01-01 04:00:00,1317.452909,BTCUSDT.csv,2019-01-01,04:00:00,3699.94
3699.94,3704.44,3692.73,3886,3693.98,2019-01-01 05:00:00,572.402228,BTCUSDT.csv,2019-01-01,05:00:00,3703.56
3703.56,3713.93,3697.0,4839,3699.95,2019-01-01 06:00:00,660.279771,BTCUSDT.csv,2019-01-01,06:00:00,3713.83
3713.83,3726.64,3703.34,5335,3703.63,2019-01-01 07:00:00,823.625491,BTCUSDT.csv,2019-01-01,07:00:00,3716.7
3716.7,3731.19,3707.0,6190,3714.19,2019-01-01 08:00:00,887.101362,BTCUSDT.csv,2019-01-01,08:00:00,3699.95
3699.95,3732.0,3696.14,5670,3716.98,2019-01-01 09:00:00,955.879034,BTCUSDT.csv,2019-01-01,09:00:00,3713.07
3713.07,3717.11,3698.0,4008,3699.96,2019-01-01 10:00:00,534.113945,BTCUSDT.csv,2019-01-01,10:00:00,3707.54
3707.54,3722.22,3706.88,4838,3713.07,2019-01-01 11:00:00,600.664642,BTCUSDT.csv,2019-01-01,11:00:00,3717.0
3717.0,3725.0,3698.25,4802,3707.56,2019-01-01 12:00:00,654.27771,BTCUSDT.csv,2019-01-01,12:00:00,3715.93
3715.93,3756.94,3708.41,5975,3717.0,2019-01-01 13:00:00,941.785695,BTCUSDT.csv,2019-01-01,13:00:00,3698.53
3698.53,3717.0,3684.21,6899,3715.23,2019-01-01 14:00:00,1127.366632,BTCUSDT.csv,2019-01-01,14:00:00,3682.61
3682.61,3698.87,3666.01,6788,3698.28,2019-01-01 15:00:00,996.688532,BTCUSDT.csv,2019-01-01,15:00:00,3693.54
3693.54,3696.23,3677.48,4600,3683.0,2019-01-01 16:00:00,629.18028,BTCUSDT.csv,2019-01-01,16:00:00,3686.32
3686.32,3701.68,3675.01,4207,3693.5,2019-01-01 17:00:00,380.215487,BTCUSDT.csv,2019-01-01,17:00:00,3659.41
3659.41,3686.35,3642.0,7211,3686.34,2019-01-01 18:00:00,1083.207096,BTCUSDT.csv,2019-01-01,18:00:00,3696.73
3696.73,3699.99,3659.56,6923,3659.56,2019-01-01 19:00:00,1155.513112,BTCUSDT.csv,2019-01-01,19:00:00,3719.0
3719.0,3726.93,3675.67,11604,3696.71,2019-01-01 20:00:00,2021.170948,BTCUSDT.csv,2019-01-01,20:00:00,3708.21
3708.21,3730.01,3700.0,7130,3719.0,2019-01-01 21:00:00,1105.501735,BTCUSDT.csv,2019-01-01,21:00:00,3711.2
3711.2,3717.07,3692.42,5721,3707.98,2019-01-01 22:00:00,624.620136,BTCUSDT.csv,2019-01-01,22:00:00,3797.14
3797.14,3810.16,3706.43,16973,3712.85,2019-01-01 23:00:00,3678.716754,BTCUSDT.csv,2019-01-01,23:00:00,3778.02
3778.02,3810.0,3763.75,10665,3796.45,2019-01-02 00:00:00,2094.025159,BTCUSDT.csv,2019-01-02,00:00:00,3770.0
3770.0,3792.0,3765.75,6210,3778.62,2019-01-02 01:00:00,912.811113,BTCUSDT.csv,2019-01-02,01:00:00,3783.28
3783.28,3785.1,3768.0,5401,3769.98,2019-01-02 02:00:00,719.302757,BTCUSDT.csv,2019-01-02,02:00:00,3779.98
3779.98,3796.22,3773.79,5710,3783.28,2019-01-02 03:00:00,770.368067,BTCUSDT.csv,2019-01-02,03:00:00,3776.41
3776.41,3788.31,3765.0,5835,3780.0,2019-01-02 04:00:00,748.260209,BTCUSDT.csv,2019-01-02,04:00:00,3773.04
3773.04,3778.42,3768.0,5001,3776.16,2019-01-02 05:00:00,415.849513,BTCUSDT.csv,2019-01-02,05:00:00,3758.53
3758.53,3775.0,3750.45,6808,3773.04,2019-01-02 06:00:00,916.986058,BTCUSDT.csv,2019-01-02,06:00:00,3771.08
3771.08,3778.54,3755.4,9727,3758.53,2019-01-02 07:00:00,1338.79474,BTCUSDT.csv,2019-01-02,07:00:00,3781.35
